gene_name,sample_name,gene_family,drug_class,resistance_mechanism,model_type,num_contigs,cutoff,contig_coverage_breadth,contig_percent_id,contig_species,num_reads,read_coverage_breadth,read_coverage_depth,read_species,total_reads,rpm,dpm
bifidobacterium bifidum iles conferring resistance to mupirocin,AMR_TR-DNA-NOVA1-06-pst_S66,antibiotic-resistant isoleucyl-tRNA synthetase (ileS),mupirocin,antibiotic target alteration,protein homolog,0,,,,,3.0,12.64,0.09,,10000000,0.74,0.02
cbla-1,AMR_TR-DNA-NOVA1-06-pst_S66,CblA beta-lactamase,cephalosporin,antibiotic inactivation,protein homolog,0,,,,,10.0,62.96,1.58,,10000000,2.47,0.39
cfxa2,AMR_TR-DNA-NOVA1-06-pst_S66,CfxA beta-lactamase,cephamycin,antibiotic inactivation,protein homolog,1,Strict,99.6894,99.69,Unknown taxonomy (chromosome or plasmid),47.0,100.0,6.84,,10000000,11.6,1.69
cpxa,AMR_TR-DNA-NOVA1-06-pst_S66,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic; aminocoumarin antibiotic,antibiotic efflux,protein homolog,0,,,,,34.0,91.56,3.53,Escherichia coli (chromosome): 2; Escherichia coli (chromosome or plasmid): 11; ,10000000,8.39,0.87
crp,AMR_TR-DNA-NOVA1-06-pst_S66,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; penam,antibiotic efflux,protein homolog,0,,,,,15.0,98.26,3.18,Escherichia coli (chromosome): 1; Escherichia coli (chromosome or plasmid): 6; ,10000000,3.7,0.78
dfrf,AMR_TR-DNA-NOVA1-06-pst_S66,trimethoprim resistant dihydrofolate reductase dfr,diaminopyrimidine antibiotic,antibiotic target replacement,protein homolog,0,,,,,5.0,76.16,0.96,,10000000,1.23,0.24
ec-15,AMR_TR-DNA-NOVA1-06-pst_S66,EC beta-lactamase,cephalosporin,antibiotic inactivation,protein homolog,0,,,,,9.0,33.16,1.1,Escherichia coli (chromosome or plasmid): 2; ,10000000,2.22,0.27
emra,AMR_TR-DNA-NOVA1-06-pst_S66,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic,antibiotic efflux,protein homolog,0,,,,,15.0,49.45,1.76,,10000000,3.7,0.43
emrb,AMR_TR-DNA-NOVA1-06-pst_S66,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic,antibiotic efflux,protein homolog,0,,,,,38.0,88.04,3.59,Escherichia coli (chromosome): 4; Escherichia coli (chromosome or plasmid): 1; ,10000000,9.38,0.89
emrk,AMR_TR-DNA-NOVA1-06-pst_S66,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux,protein homolog,0,,,,,12.0,79.45,1.55,Escherichia coli (chromosome or plasmid): 1; ,10000000,2.96,0.38
emrr,AMR_TR-DNA-NOVA1-06-pst_S66,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic,antibiotic efflux,protein homolog,0,,,,,9.0,72.88,1.76,,10000000,2.22,0.43
emry,AMR_TR-DNA-NOVA1-06-pst_S66,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux,protein homolog,0,,,,,15.0,51.79,1.38,,10000000,3.7,0.34
epta,AMR_TR-DNA-NOVA1-06-pst_S66,pmr phosphoethanolamine transferase,peptide antibiotic,antibiotic target alteration,protein homolog,0,,,,,14.0,48.18,1.27,Escherichia coli (chromosome or plasmid): 1; ,10000000,3.45,0.31
ermb,AMR_TR-DNA-NOVA1-06-pst_S66,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,antibiotic target alteration,protein homolog,0,,,,,4.0,24.77,0.64,,10000000,0.99,0.16
ermf,AMR_TR-DNA-NOVA1-06-pst_S66,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,antibiotic target alteration,protein homolog,0,,,,,1.0,17.48,0.17,,10000000,0.25,0.04
escherichia coli acra,AMR_TR-DNA-NOVA1-06-pst_S66,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,antibiotic efflux,protein homolog,0,,,,,9.0,73.2,1.0,Escherichia coli (chromosome or plasmid): 2; ,10000000,2.22,0.25
escherichia coli mdfa,AMR_TR-DNA-NOVA1-06-pst_S66,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic; disinfecting agents and antiseptics,antibiotic efflux,protein homolog,0,,,,,11.0,81.75,1.19,Escherichia coli (chromosome): 3; Escherichia coli (chromosome or plasmid): 4; ,10000000,2.71,0.29
evga,AMR_TR-DNA-NOVA1-06-pst_S66,major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; penam; tetracycline antibiotic,antibiotic efflux,protein homolog,0,,,,,12.0,92.85,2.74,Escherichia coli (chromosome or plasmid): 1; ,10000000,2.96,0.68
evgs,AMR_TR-DNA-NOVA1-06-pst_S66,major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; penam; tetracycline antibiotic,antibiotic efflux,protein homolog,0,,,,,24.0,67.84,0.94,Escherichia coli (chromosome): 3; Escherichia coli (chromosome or plasmid): 4; ,10000000,5.92,0.23
gadw,AMR_TR-DNA-NOVA1-06-pst_S66,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; penam,antibiotic efflux,protein homolog,0,,,,,9.0,80.38,1.69,Escherichia coli (chromosome): 2; ,10000000,2.22,0.42
gadx,AMR_TR-DNA-NOVA1-06-pst_S66,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; penam,antibiotic efflux,protein homolog,0,,,,,3.0,41.94,0.55,Escherichia coli (chromosome): 3; ,10000000,0.74,0.14
h-ns,AMR_TR-DNA-NOVA1-06-pst_S66,major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; cephalosporin; cephamycin; penam; tetracycline antibiotic,antibiotic efflux,protein homolog,0,,,,,2.0,50.0,0.72,,10000000,0.49,0.18
kdpe,AMR_TR-DNA-NOVA1-06-pst_S66,kdpDE,aminoglycoside antibiotic,antibiotic efflux,protein homolog,0,,,,,6.0,55.16,1.14,Escherichia coli (chromosome): 3; ,10000000,1.48,0.28
lnuc,AMR_TR-DNA-NOVA1-06-pst_S66,lincosamide nucleotidyltransferase (LNU),lincosamide antibiotic,antibiotic inactivation,protein homolog,0,,,,,2.0,26.06,0.43,,10000000,0.49,0.11
lptd,AMR_TR-DNA-NOVA1-06-pst_S66,ATP-binding cassette (ABC) antibiotic efflux pump,carbapenem; peptide antibiotic; aminocoumarin antibiotic; rifamycin antibiotic,antibiotic efflux,protein homolog,0,,,,,7.0,22.09,0.32,,10000000,1.73,0.08
mdta,AMR_TR-DNA-NOVA1-06-pst_S66,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic,antibiotic efflux,protein homolog,0,,,,,7.0,56.57,0.84,,10000000,1.73,0.21
mdtb,AMR_TR-DNA-NOVA1-06-pst_S66,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic,antibiotic efflux,protein homolog,0,,,,,27.0,61.19,1.25,Escherichia coli (chromosome): 8; Escherichia coli (chromosome or plasmid): 9; ,10000000,6.66,0.31
mdtc,AMR_TR-DNA-NOVA1-06-pst_S66,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic,antibiotic efflux,protein homolog,0,,,,,17.0,50.55,0.67,Escherichia coli (chromosome): 3; Escherichia coli (chromosome or plasmid): 2; ,10000000,4.2,0.17
mdte,AMR_TR-DNA-NOVA1-06-pst_S66,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; penam,antibiotic efflux,protein homolog,0,,,,,11.0,73.4,1.42,Escherichia coli (chromosome): 3; ,10000000,2.71,0.35
mdtf,AMR_TR-DNA-NOVA1-06-pst_S66,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; penam,antibiotic efflux,protein homolog,0,,,,,39.0,77.75,1.75,Escherichia coli (chromosome): 1; ,10000000,9.62,0.43
mdtg,AMR_TR-DNA-NOVA1-06-pst_S66,major facilitator superfamily (MFS) antibiotic efflux pump,fosfomycin,antibiotic efflux,protein homolog,0,,,,,13.0,69.68,1.2,Escherichia coli (chromosome or plasmid): 2; ,10000000,3.21,0.3
mdth,AMR_TR-DNA-NOVA1-06-pst_S66,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic,antibiotic efflux,protein homolog,0,,,,,10.0,53.93,0.99,,10000000,2.47,0.24
mdtm,AMR_TR-DNA-NOVA1-06-pst_S66,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic; lincosamide antibiotic; nucleoside antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,antibiotic efflux,protein homolog,0,,,,,14.0,49.88,1.49,Escherichia coli (chromosome): 2; Escherichia coli (chromosome or plasmid): 5; ,10000000,3.45,0.37
mdtn,AMR_TR-DNA-NOVA1-06-pst_S66,major facilitator superfamily (MFS) antibiotic efflux pump,nucleoside antibiotic; disinfecting agents and antiseptics,antibiotic efflux,protein homolog,0,,,,,2.0,22.58,0.29,Escherichia coli (chromosome): 1; ,10000000,0.49,0.07
mdto,AMR_TR-DNA-NOVA1-06-pst_S66,major facilitator superfamily (MFS) antibiotic efflux pump,nucleoside antibiotic; disinfecting agents and antiseptics,antibiotic efflux,protein homolog,0,,,,,20.0,73.15,1.45,Escherichia coli (chromosome): 1; Escherichia coli (chromosome or plasmid): 8; ,10000000,4.94,0.36
mdtp,AMR_TR-DNA-NOVA1-06-pst_S66,major facilitator superfamily (MFS) antibiotic efflux pump,nucleoside antibiotic; disinfecting agents and antiseptics,antibiotic efflux,protein homolog,0,,,,,11.0,51.06,1.06,Escherichia coli (chromosome): 4; ,10000000,2.71,0.26
mef(en2),AMR_TR-DNA-NOVA1-06-pst_S66,major facilitator superfamily (MFS) antibiotic efflux pump,macrolide antibiotic,antibiotic efflux,protein homolog,0,,,,,9.0,78.28,1.05,,10000000,2.22,0.26
msba,AMR_TR-DNA-NOVA1-06-pst_S66,ATP-binding cassette (ABC) antibiotic efflux pump,nitroimidazole antibiotic,antibiotic efflux,protein homolog,0,,,,,18.0,57.23,1.54,,10000000,4.44,0.38
nimj,AMR_TR-DNA-NOVA1-06-pst_S66,nitroimidazole reductase,nitroimidazole antibiotic,antibiotic inactivation,protein homolog,1,Strict,95.1807,60.13,,,,,,10000000,0.0,0.0
ompa,AMR_TR-DNA-NOVA1-06-pst_S66,General Bacterial Porin with reduced permeability to beta-lactams,monobactam; carbapenem; cephalosporin; cephamycin; penam; penem,reduced permeability to antibiotic,protein homolog,0,,,,,14.0,69.87,0.82,,10000000,3.45,0.2
oxa-308,AMR_TR-DNA-NOVA1-06-pst_S66,OXA beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation,protein homolog,0,,,,,1.0,2.14,0.02,,10000000,0.25,0.0
pmrf,AMR_TR-DNA-NOVA1-06-pst_S66,pmr phosphoethanolamine transferase,peptide antibiotic,antibiotic target alteration,protein homolog,0,,,,,12.0,51.19,1.86,Escherichia coli (chromosome): 1; Escherichia coli (chromosome or plasmid): 3; ,10000000,2.96,0.46
qacg,AMR_TR-DNA-NOVA1-06-pst_S66,small multidrug resistance (SMR) antibiotic efflux pump,disinfecting agents and antiseptics,antibiotic efflux,protein homolog,1,Strict,98.1481,47.17,,,,,,10000000,0.0,0.0
sat-4,AMR_TR-DNA-NOVA1-06-pst_S66,streptothricin acetyltransferase (SAT),nucleoside antibiotic,antibiotic inactivation,protein homolog,1,Strict,82.8729,100.0,Unknown taxonomy (chromosome or plasmid),14.0,98.53,3.45,,10000000,3.45,0.85
tet(32),AMR_TR-DNA-NOVA1-06-pst_S66,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,9.0,33.07,0.69,,10000000,2.22,0.17
tet(40),AMR_TR-DNA-NOVA1-06-pst_S66,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux,protein homolog,1,Strict,99.7543,99.26,Unknown taxonomy (chromosome),44.0,100.0,4.8,Faecalibacterium prausnitzii (chromosome): 3; Streptococcus suis (chromosome): 3; ,10000000,10.86,1.18
tet(m),AMR_TR-DNA-NOVA1-06-pst_S66,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,10.0,35.42,0.74,,10000000,2.47,0.18
tet(o),AMR_TR-DNA-NOVA1-06-pst_S66,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,1,Strict,99.8438,98.9,Unknown taxonomy (chromosome or plasmid),113.0,96.61,8.15,Streptococcus suis (chromosome): 1; Anaerostipes hadrus (chromosome): 1; Streptococcus suis (chromosome or plasmid): 2; Enterococcus hirae (chromosome or plasmid): 1; ,10000000,27.89,2.01
tet(o/32/o),AMR_TR-DNA-NOVA1-06-pst_S66,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,2.0,15.62,0.16,,10000000,0.49,0.04
tet(o/m/o),AMR_TR-DNA-NOVA1-06-pst_S66,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,8.0,17.86,0.62,Anaerostipes hadrus (chromosome or plasmid): 2; ,10000000,1.97,0.15
tet(o/w/32/o),AMR_TR-DNA-NOVA1-06-pst_S66,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,33.0,41.61,2.52,,10000000,8.14,0.62
tet(o/w/o),AMR_TR-DNA-NOVA1-06-pst_S66,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,4.0,12.86,0.31,Ruthenibacterium lactatiformans (chromosome): 1; ,10000000,0.99,0.08
tet(q),AMR_TR-DNA-NOVA1-06-pst_S66,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,3,Strict,98.1763,91.23,Unknown taxonomy (chromosome) Prevotella intermedia (chromosome),212.0,100.0,15.62,Prevotella intermedia (chromosome): 2; Bacteroides fragilis (chromosome): 1; ,10000000,52.32,3.85
tet(w),AMR_TR-DNA-NOVA1-06-pst_S66,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,1,Strict,99.8438,98.59,Faecalibacterium prausnitzii (chromosome),154.0,100.0,11.29,Faecalibacterium prausnitzii (chromosome): 4; ,10000000,38.0,2.79
tet(w/n/w),AMR_TR-DNA-NOVA1-06-pst_S66,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,43.0,41.25,3.22,Bifidobacterium breve (chromosome): 2; Bifidobacterium longum (chromosome): 1; ,10000000,10.61,0.79
tet(x4),AMR_TR-DNA-NOVA1-06-pst_S66,tetracycline inactivation enzyme,glycylcycline; tetracycline antibiotic,antibiotic inactivation,protein homolog,0,,,,,2.0,11.05,0.22,,10000000,0.49,0.05
teta(p),AMR_TR-DNA-NOVA1-06-pst_S66,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux,protein homolog,0,,,,,2.0,3.64,0.02,,10000000,0.49,0.0
tolc,AMR_TR-DNA-NOVA1-06-pst_S66,ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; rifamycin antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics,antibiotic efflux,protein homolog,0,,,,,7.0,39.18,0.55,Escherichia coli (chromosome or plasmid): 1; ,10000000,1.73,0.14
ugd,AMR_TR-DNA-NOVA1-06-pst_S66,pmr phosphoethanolamine transferase,peptide antibiotic,antibiotic target alteration,protein homolog,0,,,,,6.0,37.45,0.72,,10000000,1.48,0.18
yoji,AMR_TR-DNA-NOVA1-06-pst_S66,ATP-binding cassette (ABC) antibiotic efflux pump,peptide antibiotic,antibiotic efflux,protein homolog,0,,,,,12.0,59.49,1.09,Escherichia coli (chromosome): 3; Escherichia coli (chromosome or plasmid): 2; ,10000000,2.96,0.27
aad(6),AMR_TR-DNA-NOVA1-06-pre_S65,ANT(6),aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,4.0,20.34,0.72,,10000000,0.77,0.14
aph(2'')-iia,AMR_TR-DNA-NOVA1-06-pre_S65,APH(2''),aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,2.0,22.22,0.33,,10000000,0.38,0.06
aph(3')-iiia,AMR_TR-DNA-NOVA1-06-pre_S65,APH(3'),aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,4.0,38.49,0.51,,10000000,0.77,0.1
bifidobacterium adolescentis rpob mutants conferring resistance to rifampicin,AMR_TR-DNA-NOVA1-06-pre_S65,rifamycin-resistant beta-subunit of RNA polymerase (rpoB),rifamycin antibiotic,antibiotic target alteration; antibiotic target replacement,protein homolog,0,,,,,58.0,40.35,0.54,,10000000,11.13,0.1
bifidobacterium bifidum iles conferring resistance to mupirocin,AMR_TR-DNA-NOVA1-06-pre_S65,antibiotic-resistant isoleucyl-tRNA synthetase (ileS),mupirocin,antibiotic target alteration,protein homolog,0,,,,,2.0,9.03,0.09,,10000000,0.38,0.02
cbla-1,AMR_TR-DNA-NOVA1-06-pre_S65,CblA beta-lactamase,cephalosporin,antibiotic inactivation,protein homolog,1,Perfect,99.6633,100.0,Phocaeicola dorei (no genomic info),75.0,100.0,10.89,,10000000,14.4,2.09
cfxa2,AMR_TR-DNA-NOVA1-06-pre_S65,CfxA beta-lactamase,cephamycin,antibiotic inactivation,protein homolog,1,Perfect,99.6894,100.0,Unknown taxonomy (chromosome or plasmid),82.0,100.0,11.03,,10000000,15.74,2.12
ermf,AMR_TR-DNA-NOVA1-06-pre_S65,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,antibiotic target alteration,protein homolog,0,,,,,12.0,58.68,2.25,,10000000,2.3,0.43
imp-37,AMR_TR-DNA-NOVA1-06-pre_S65,IMP beta-lactamase,carbapenem; cephalosporin; cephamycin; penam; penem,antibiotic inactivation,protein homolog,0,,,,,5.0,6.83,0.04,,10000000,0.96,0.01
lnuc,AMR_TR-DNA-NOVA1-06-pre_S65,lincosamide nucleotidyltransferase (LNU),lincosamide antibiotic,antibiotic inactivation,protein homolog,0,,,,,7.0,55.96,1.59,,10000000,1.34,0.31
mef(en2),AMR_TR-DNA-NOVA1-06-pre_S65,major facilitator superfamily (MFS) antibiotic efflux pump,macrolide antibiotic,antibiotic efflux,protein homolog,0,,,,,16.0,82.5,1.71,,10000000,3.07,0.33
mefh,AMR_TR-DNA-NOVA1-06-pre_S65,major facilitator superfamily (MFS) antibiotic efflux pump,macrolide antibiotic,antibiotic efflux,protein homolog,1,Strict,79.0909,70.11,,,,,,10000000,0.0,0.0
mel,AMR_TR-DNA-NOVA1-06-pre_S65,msr-type ABC-F protein,macrolide antibiotic; streptogramin antibiotic,antibiotic target protection,protein homolog,0,,,,,4.0,24.63,0.49,Streptococcus (chromosome): 1; ,10000000,0.77,0.09
sat-4,AMR_TR-DNA-NOVA1-06-pre_S65,streptothricin acetyltransferase (SAT),nucleoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,4.0,54.7,1.09,,10000000,0.77,0.21
tet(32),AMR_TR-DNA-NOVA1-06-pre_S65,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,1,Strict,60.0,98.18,Enterococcus hirae (chromosome),22.0,53.54,1.46,Bifidobacterium longum (chromosome): 2; ,10000000,4.22,0.28
tet(40),AMR_TR-DNA-NOVA1-06-pre_S65,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux,protein homolog,0,,,,,18.0,61.59,1.65,,10000000,3.46,0.32
tet(o),AMR_TR-DNA-NOVA1-06-pre_S65,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,1,Strict,86.875,98.92,Anaerostipes hadrus (chromosome or plasmid),76.0,99.64,5.49,Streptococcus suis (chromosome): 2; Anaerostipes hadrus (chromosome): 1; Streptococcus suis (chromosome or plasmid): 3; ,10000000,14.59,1.05
tet(o/32/o),AMR_TR-DNA-NOVA1-06-pre_S65,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,17.0,38.18,1.3,Enterococcus hirae (chromosome): 1; ,10000000,3.26,0.25
tet(o/m/o),AMR_TR-DNA-NOVA1-06-pre_S65,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,9.0,20.05,0.66,Anaerostipes hadrus (chromosome or plasmid): 5; ,10000000,1.73,0.13
tet(o/w),AMR_TR-DNA-NOVA1-06-pre_S65,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,8.0,15.99,0.61,,10000000,1.54,0.12
tet(o/w/32/o),AMR_TR-DNA-NOVA1-06-pre_S65,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,16.0,29.22,1.16,,10000000,3.07,0.22
tet(o/w/o),AMR_TR-DNA-NOVA1-06-pre_S65,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,6.0,19.84,0.47,Ruthenibacterium lactatiformans (chromosome): 2; ,10000000,1.15,0.09
tet(q),AMR_TR-DNA-NOVA1-06-pre_S65,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,1,Strict,99.848,96.35,Unknown taxonomy (chromosome),348.0,100.0,24.86,Prevotella intermedia (chromosome): 1; ,10000000,66.8,4.77
tet(w),AMR_TR-DNA-NOVA1-06-pre_S65,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,1,Strict,99.8438,99.84,Unknown taxonomy (chromosome),145.0,100.0,10.13,Faecalibacterium prausnitzii (chromosome): 3; Bifidobacterium longum (chromosome): 3; ,10000000,27.83,1.94
tet(w/32/o),AMR_TR-DNA-NOVA1-06-pre_S65,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,1.0,2.76,0.03,,10000000,0.19,0.01
tet(w/n/w),AMR_TR-DNA-NOVA1-06-pre_S65,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,15.0,34.74,1.17,,10000000,2.88,0.22
tet(x),AMR_TR-DNA-NOVA1-06-pre_S65,tetracycline inactivation enzyme,glycylcycline; tetracycline antibiotic,antibiotic inactivation,protein homolog,0,,,,,6.0,23.65,0.47,,10000000,1.15,0.09
tet(x1),AMR_TR-DNA-NOVA1-06-pre_S65,tetracycline inactivation enzyme,tetracycline antibiotic,antibiotic inactivation,protein homolog,0,,,,,3.0,38.33,0.41,,10000000,0.58,0.08
vanr gene in vand cluster,AMR_TR-DNA-NOVA1-06-pre_S65,glycopeptide resistance gene cluster; vanR,glycopeptide antibiotic,antibiotic target alteration,protein homolog,0,,,,,2.0,36.48,0.21,,10000000,0.38,0.04
vany gene in vand cluster,AMR_TR-DNA-NOVA1-06-pre_S65,vanY; glycopeptide resistance gene cluster,glycopeptide antibiotic,antibiotic target alteration,protein homolog,0,,,,,1.0,25.18,0.25,,10000000,0.19,0.05
aac(6')-ie-aph(2'')-ia,AMR_TR-DNA-NOVA1-06-6mo_S68,APH(2''); AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,2.0,12.78,0.21,,10000000,0.41,0.04
aad(6),AMR_TR-DNA-NOVA1-06-6mo_S68,ANT(6),aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,7.0,43.2,1.14,,10000000,1.45,0.24
aads,AMR_TR-DNA-NOVA1-06-6mo_S68,ANT(6),aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,1.0,6.71,0.07,,10000000,0.21,0.01
ant(6)-ia,AMR_TR-DNA-NOVA1-06-6mo_S68,ANT(6),aminoglycoside antibiotic,antibiotic inactivation,protein homolog,0,,,,,6.0,29.63,0.82,,10000000,1.24,0.17
aph(3')-iiia,AMR_TR-DNA-NOVA1-06-6mo_S68,APH(3'),aminoglycoside antibiotic,antibiotic inactivation,protein homolog,1,Perfect,98.4906,100.0,Unknown taxonomy (chromosome or plasmid),22.0,100.0,3.96,Staphylococcus pseudintermedius (chromosome or plasmid): 1; ,10000000,4.54,0.82
bifidobacterium adolescentis rpob mutants conferring resistance to rifampicin,AMR_TR-DNA-NOVA1-06-6mo_S68,rifamycin-resistant beta-subunit of RNA polymerase (rpoB),rifamycin antibiotic,antibiotic target alteration; antibiotic target replacement,protein homolog,0,,,,,66.0,39.17,0.93,Bifidobacterium longum (chromosome): 2; ,10000000,13.63,0.19
cbla-1,AMR_TR-DNA-NOVA1-06-6mo_S68,CblA beta-lactamase,cephalosporin,antibiotic inactivation,protein homolog,0,,,,,42.0,96.86,5.44,,10000000,8.67,1.12
cfxa2,AMR_TR-DNA-NOVA1-06-6mo_S68,CfxA beta-lactamase,cephamycin,antibiotic inactivation,protein homolog,1,Perfect,99.6894,100.0,Unknown taxonomy (chromosome or plasmid),73.0,100.0,10.62,,10000000,15.07,2.19
cia-2,AMR_TR-DNA-NOVA1-06-6mo_S68,CIA beta-lactamase,carbapenem; cephalosporin,antibiotic inactivation,protein homolog,0,,,,,1.0,1.93,0.02,,10000000,0.21,0.0
cpxa,AMR_TR-DNA-NOVA1-06-6mo_S68,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic; aminocoumarin antibiotic,antibiotic efflux,protein homolog,0,,,,,1.0,9.32,0.09,Enterobacter cloacae (chromosome): 1; ,10000000,0.21,0.02
erm(52),AMR_TR-DNA-NOVA1-06-6mo_S68,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic,antibiotic target alteration,protein homolog,0,,,,,2.0,27.85,0.28,,10000000,0.41,0.06
ermb,AMR_TR-DNA-NOVA1-06-6mo_S68,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,antibiotic target alteration,protein homolog,0,,,,,4.0,35.34,0.8,,10000000,0.83,0.17
ermf,AMR_TR-DNA-NOVA1-06-6mo_S68,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,antibiotic target alteration,protein homolog,0,,,,,9.0,79.53,1.53,,10000000,1.86,0.32
